date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:01	207/207	---M--	200	added ('OK')	image/png	etag:%22cf-559a55a3ae946%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_65_ffffff_1x400.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:02	328/328	---M--	200	added ('OK')	image/png	etag:%22148-559a55a3d3336%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:02	167084/167084	---M--	200	added ('OK')	font/ttf	etag:%2228cac-559a55a8fdb5f%22	http://www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio.ttf?u8sxl3	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio5fe4.ttf	(from http://www.davo1.cz/front/styles/style.css)
19:58:02	418/418	---M--	200	added ('OK')	image/png	etag:%221a2-559a55a38a726%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_diagonals-thick_18_b81900_40x40.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_diagonals-thick_18_b81900_40x40.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:03	6922/6922	---M--	200	added ('OK')	image/png	etag:%221b0a-559a55a3d5e2e%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_222222_256x240.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_222222_256x240.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:04	6299/6299	---M--	200	added ('OK')	image/png	etag:%22189b-559a55a3f8cc6%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ffffff_256x240.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ffffff_256x240.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:04	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-559a55a3e5c16%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ef8c08_256x240.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ef8c08_256x240.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:05	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-559a55a3e311e%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_228ef1_256x240.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_228ef1_256x240.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:05	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-559a55a3f2b1e%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ffd27a_256x240.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-icons_ffd27a_256x240.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:05	312/312	---M--	200	added ('OK')	image/png	etag:%22138-559a55a38c27e%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_diagonals-thick_20_666666_40x40.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_diagonals-thick_20_666666_40x40.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
